feature,gain_pre,gain_post,delta_post_minus_pre
areaperunit,0.101761745,0.124990727,0.023228982
daily_needs_score,0.048684282,0.0474603,-0.001223982
daily_needs_score_equal,0.024473041,0.01958313,-0.004889911
drivetime_min,0.008472479,0.002117127,-0.006355352
family_support_score,0.07464103,0.083121311,0.00848028
lifestyle_score,0.052794507,0.062368153,0.009573646
numunits,0.094532921,0.164392128,0.069859207
ownrent_avg_mortgage,0.06953414,0.03882747,-0.03070667
ownrent_avg_rent,0.089719627,0.10146849,0.011748863
ownrent_spread_abs,0.036542404,0.034572733,-0.001969671
ownrent_spread_pct,0.035888148,0.049464125,0.013575977
supply_baseline_units,0.060905764,0.032436567,-0.028469197
supply_growth_pct,0.048917071,0.059792268,0.010875197
supply_new_units,0.053709471,0.032351488,-0.021357983
year_renov,0.041467572,0.03709692,-0.004370652
yearbuilt,0.157955799,0.109957065,-0.047998735
