iter	Passed	Remaining
0	8	53623
1	17	52113
2	26	53607
3	35	53547
4	45	54596
5	54	54402
6	63	54616
7	71	53703
8	82	54780
9	90	54440
10	100	54614
11	107	53715
12	117	53943
13	124	53331
14	133	53226
15	140	52712
16	150	53017
17	159	52868
18	168	52998
19	177	52948
20	187	53474
21	196	53349
22	206	53736
23	215	53777
24	226	54028
25	233	53661
26	242	53709
27	250	53444
28	259	53501
29	268	53480
30	277	53444
31	286	53473
32	297	53784
33	306	53712
34	315	53764
35	324	53704
36	334	53899
37	342	53750
38	353	54022
39	362	54001
40	373	54219
41	381	54131
42	391	54246
43	399	54062
44	409	54131
45	417	54034
46	427	54206
47	436	54071
48	445	54111
49	454	54087
50	465	54346
51	475	54360
52	487	54676
53	496	54634
54	507	54814
55	516	54818
56	525	54751
57	536	54976
58	545	54922
59	553	54828
60	564	54942
61	572	54857
62	581	54844
63	590	54809
64	601	54911
65	610	54849
66	619	54831
67	628	54807
68	636	54744
69	645	54670
70	656	54840
71	665	54782
72	675	54885
73	684	54843
74	695	54935
75	703	54801
76	713	54880
77	722	54828
78	732	54894
79	739	54755
80	750	54868
81	758	54777
82	768	54750
83	776	54704
84	786	54725
85	794	54645
86	805	54746
87	814	54736
88	824	54748
89	834	54776
90	844	54840
91	853	54808
92	862	54787
93	871	54785
94	882	54845
95	891	54807
96	901	54880
97	910	54816
98	920	54883
99	928	54793
100	938	54811
101	947	54811
102	958	54850
103	967	54851
104	976	54843
105	984	54758
106	996	54871
107	1006	54892
108	1017	54970
109	1025	54923
110	1036	54967
111	1045	54962
112	1054	54957
113	1063	54906
114	1074	54989
115	1083	54975
116	1093	54962
117	1101	54902
118	1109	54832
119	1117	54765
120	1126	54743
121	1135	54727
122	1146	54792
123	1154	54720
124	1164	54714
125	1172	54674
126	1182	54664
127	1189	54581
128	1198	54544
129	1206	54456
130	1216	54518
131	1225	54487
132	1234	54463
133	1242	54380
134	1252	54434
135	1261	54399
136	1272	54441
137	1280	54372
138	1290	54425
139	1299	54393
140	1310	54450
141	1319	54447
142	1328	54429
143	1338	54414
144	1347	54416
145	1357	54424
146	1367	54467
147	1377	54485
148	1388	54519
149	1396	54479
150	1407	54516
151	1416	54498
152	1425	54492
153	1435	54505
154	1445	54524
155	1455	54507
156	1465	54546
157	1475	54540
158	1485	54562
159	1493	54501
160	1504	54570
161	1513	54524
162	1522	54517
163	1530	54460
164	1541	54527
165	1550	54505
166	1561	54542
167	1569	54497
168	1581	54549
169	1588	54485
170	1599	54511
171	1607	54458
172	1617	54495
173	1627	54488
174	1638	54532
175	1646	54476
176	1656	54499
177	1665	54487
178	1676	54512
179	1685	54511
180	1696	54550
181	1706	54545
182	1717	54578
183	1724	54510
184	1734	54504
185	1743	54491
186	1754	54542
187	1764	54548
188	1774	54553
189	1783	54547
